,kW,Rida,Gamybos_metai
1075,120,255623,201202
1076,140,305365,201106
1077,110,286000,200910
1078,151,338269,200910
1079,125,329336,201109
1080,135,305966,201210
1081,140,308540,201103
1082,130,310000,201101
1083,110,247000,201011
1084,110,252711,201310
1085,150,406674,2011
1086,110,252137,2010
1087,176,414100,200812
1088,125,207000,201606
1089,120,285000,201208
1090,120,220954,201203
1091,171,270229,200703
1092,176,280530,200907
1093,128,500000,2006
1094,173,327215,2007
1095,165,255000,200606
1096,125,353000,200911
1097,173,425486,200709
1098,165,202993,2009
1099,165,297200,2006
1100,110,535000,200805
1101,118,201284,201106
1102,208,256525,201211
1103,110,252711,201310
1104,150,406674,2011
1105,110,252137,2010
1106,176,414100,200812
1107,125,207000,201606
1108,120,285000,201208
1109,120,220954,201203
1110,171,270229,200703
1111,176,280530,200907
1112,128,500000,2006
1113,173,327215,2007
1114,165,255000,200606
1115,125,353000,200911
1116,173,425486,200709
1117,165,202993,2009
1118,165,297200,2006
1119,110,535000,200805
1120,118,201284,201106
1121,208,256525,201211
1122,120,281000,201405
1123,145,369310,200912
1124,173,260000,2007
1125,176,271000,201009
1126,120,205545,200606
1127,150,182500,201011
1128,128,257000,200705
1129,110,260000,201503
1130,145,211200,201109
1131,169,200000,2010
1132,110,294000,201408
1133,135,274000,201108
1134,136,259000,2008
1135,110,229000,200911
1136,120,287000,201104
1137,125,175000,200909
1138,112,219767,200911
1139,130,360000,2012
1140,127,317000,200611
1141,145,369310,200912
1142,173,260000,2007
1143,176,271000,201009
1144,120,205545,200606
1145,150,182500,201011
1146,128,257000,200705
1147,155,232323,201101
1148,110,260000,201503
1149,145,211200,201109
1150,169,200000,2010
1151,110,294000,201408
1152,171,323000,200610
1153,135,274000,201108
1154,136,259000,2008
1155,110,229000,200911
1156,120,287000,201104
1157,125,175000,200909
1158,112,219767,200911
1159,130,360000,2012
1160,127,317000,200611
1161,135,262852,201305
1162,173,298325,200706
1163,150,326000,201009
1164,170,326783,2009
1165,175,217777,201007
1166,173,375000,200808
1167,175,245499,200805
1168,131,102000,201407
1169,133,264555,201410
1170,170,296758,200712
1171,155,250169,200808
1172,165,270000,200806
1173,150,417414,201102
1174,135,159000,201210
1175,180,270054,2012
1176,125,269080,201503
1177,165,275369,200908
1178,176,300000,200805
1179,110,270500,201506
1180,135,262852,201305
1181,173,298325,200706
1182,150,326000,201009
1183,170,326783,2009
1184,175,217777,201007
1185,173,375000,200808
1186,175,245499,200805
1187,131,102000,201407
1188,133,264555,201410
1189,170,296758,200712
1190,155,250169,200808
1191,165,270000,200806
1192,150,417414,201102
1193,135,159000,201210
1194,180,270054,2012
1195,110,213000,201203
1196,125,269080,201503
1197,165,275369,200908
1198,176,300000,200805
1199,110,270500,201506
1200,145,250000,2011
1201,125,246000,200908
1202,173,320113,200812
1203,120,350000,201103
1204,133,287147,201612
1205,130,232000,201212
1206,176,203000,200903
1207,141,281000,2013
1208,125,210000,201112
1209,110,260000,201308
1210,110,200000,201608
1211,125,252000,2010
1212,150,345678,201106
1213,140,308000,201106
1214,129,277500,200908
1215,191,323187,201006
1216,147,290000,201303
1217,120,285488,2012
1218,170,395500,201009
1219,145,250000,2011
1220,125,246000,200908
1221,120,280000,201306
1222,173,320113,200812
1223,120,350000,201103
1224,133,287147,201612
1225,130,232000,201212
1226,176,203000,200903
1227,141,281000,2013
1228,125,210000,201112
1229,110,260000,201308
1230,110,200000,201608
1231,125,252000,2010
1232,150,345678,201106
1233,140,308000,201106
1234,129,277500,200908
1235,191,323187,201006
1236,147,290000,201303
1237,120,285488,2012
1238,170,395500,201009
1239,151,278000,200910
1240,2165,272000,200912
1241,129,290000,200910
1242,110,212500,201108
1243,136,208000,201010
1244,147,285000,201112
1245,140,460000,201611
1246,177,300000,201012
1247,143,279684,201511
1248,143,242435,201409
1249,125,279658,201611
1250,135,316000,201301
1251,165,373000,200907
1252,130,236840,201201
1253,135,307695,201205
1254,125,280000,201004
1255,177,240000,200806
1256,135,322000,2011
1257,151,278000,200910
1258,2165,272000,200912
1259,129,290000,200910
1260,110,212500,201108
1261,110,226197,201408
1262,136,208000,201010
1263,120,175000,201210
1264,147,285000,201112
1265,140,460000,201611
1266,177,300000,201012
1267,143,279684,201511
1268,143,242435,201409
1269,125,279658,201611
1270,135,316000,201301
1271,165,373000,200907
