,k
1379,8700.0
1380,8700.0
1381,8700.0
1382,8700.0
1383,8700.0
1384,8700.0
1385,8750.0
1386,8750.0
1387,8750.0
1388,8750.0
1389,8790.0
1390,8799.0
1391,8799.0
1392,8799.0
1393,8800.0
1394,8800.0
1395,8800.0
1396,8800.0
1397,8800.0
1398,8800.0
1399,8800.0
1400,8800.0
1401,8800.0
1402,8800.0
1403,8800.0
1404,8850.0
1405,8900.0
1406,8900.0
1407,8900.0
1408,8900.0
1409,8900.0
1410,8900.0
1411,8950.0
1412,8799.0
1413,8800.0
1414,8800.0
1415,8800.0
1416,8800.0
1417,8800.0
1418,8800.0
1419,8800.0
1420,8800.0
1421,8800.0
1422,8800.0
1423,8800.0
1424,8850.0
1425,8900.0
1426,8900.0
1427,8900.0
1428,8900.0
1429,8900.0
1430,8900.0
1431,8950.0
1432,8950.0
1433,8950.0
1434,8950.0
1435,8950.0
1436,8950.0
1437,8950.0
1438,8990.0
1439,8990.0
1440,8995.0
1441,8999.0
1442,8999.0
1443,8999.0
1444,9000.0
1445,9000.0
1446,9000.0
1447,9000.0
1448,9000.0
1449,9000.0
1450,9000.0
1451,8950.0
1452,8950.0
1453,8950.0
1454,8950.0
1455,8950.0
1456,8950.0
1457,8950.0
1458,8990.0
1459,8990.0
1460,8995.0
1461,8999.0
1462,8999.0
1463,8999.0
1464,9000.0
1465,9000.0
1466,9000.0
1467,9000.0
1468,9000.0
1469,9000.0
1470,9000.0
1471,9000.0
1472,9090.0
1473,9199.0
1474,9200.0
1475,9200.0
1476,9200.0
1477,9200.0
1478,9250.0
1479,9250.0
1480,9250.0
1481,9300.0
1482,9300.0
1483,9300.0
1484,9300.0
1485,9300.0
1486,9300.0
1487,9300.0
1488,9000.0
1489,9000.0
1490,9090.0
1491,9199.0
1492,9200.0
1493,9200.0
1494,9200.0
1495,9200.0
1496,9250.0
1497,9250.0
1498,9250.0
1499,9250.0
1500,9300.0
1501,9300.0
1502,9300.0
1503,9300.0
1504,9300.0
1505,9300.0
1506,9300.0
1507,9300.0
1508,9350.0
1509,9350.0
1510,9390.0
1511,9390.0
1512,9400.0
1513,9400.0
1514,9400.0
1515,9400.0
1516,9400.0
1517,9400.0
1518,9450.0
1519,9450.0
1520,9499.0
1521,9500.0
1522,9500.0
1523,9500.0
1524,9500.0
1525,9500.0
1526,9500.0
1527,9350.0
1528,9350.0
1529,9390.0
1530,9390.0
1531,9400.0
1532,9400.0
1533,9400.0
1534,9400.0
1535,9400.0
1536,9400.0
1537,9400.0
1538,9450.0
1539,9450.0
1540,9499.0
1541,9500.0
1542,9500.0
1543,9500.0
1544,9500.0
1545,9500.0
1546,9500.0
1547,9500.0
1548,9500.0
1549,9500.0
1550,9550.0
1551,9550.0
1552,9550.0
1553,9650.0
1554,9650.0
1555,9700.0
1556,9700.0
1557,9700.0
1558,9700.0
1559,9700.0
1560,9700.0
1561,9750.0
1562,9750.0
1563,9800.0
1564,9800.0
1565,9800.0
1566,9800.0
1567,9500.0
1568,9500.0
1569,9500.0
1570,9550.0
1571,9550.0
1572,9550.0
1573,9650.0
1574,9650.0
1575,9700.0
1576,9700.0
1577,9700.0
1578,9700.0
1579,9700.0
1580,9700.0
1581,9750.0
1582,9750.0
1583,9800.0
1584,9800.0
1585,9800.0
1586,9800.0
1587,9800.0
1588,9800.0
1589,9850.0
1590,9850.0
1591,9900.0
1592,9900.0
1593,9900.0
1594,9900.0
1595,9900.0
1596,9900.0
1597,9900.0
1598,9900.0
1599,9900.0
1600,9945.0
1601,9950.0
1602,9950.0
1603,9950.0
1604,9950.0
1605,9950.0
1606,9950.0
1607,9800.0
1608,9800.0
1609,9850.0
1610,9850.0
1611,9900.0
1612,9900.0
1613,9900.0
1614,9900.0
1615,9900.0
1616,9900.0
1617,9900.0
1618,9900.0
1619,9900.0
1620,9945.0
1621,9950.0
1622,9950.0
1623,9950.0
