Modelis,Kebulas,Pavara,Variklis,Kuras,Gamybos_metai,Rida,Kaina,Miestas,Web_linkas,k,Gamintojas
Audi Q7,Visureigis / Krosoveris,Automatinė,"3.0 l., 200 kW",Dyzelinas,2015-10,272 341 km,24 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-q7-3-0-l-visureigis-krosoveris-2015-dyzelinas-23899036.html,24900.0,Audi
Audi A6,Universalas,Automatinė,"3.0 l., 240 kW",Dyzelinas,2015-05,192 000 km,27 000 €,Utena,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2015-dyzelinas-25703558.html,27000.0,Audi
Audi A8,Sedanas,Automatinė,"4.1 l., 283 kW",Dyzelinas,2015-11,206 000 km,27 900 €,Klaipėda,https://autoplius.lt/skelbimai/audi-a8-4-1-l-sedanas-2015-dyzelinas-25547617.html,27900.0,Audi
Alfa Romeo Giulia,Sedanas,Automatinė,"2.0 l., 206 kW",Benzinas,2018-11,98 200 km,28 300 €,Vilnius,https://autoplius.lt/skelbimai/alfa-romeo-giulia-2-0-l-sedanas-2018-benzinas-25149712.html,28300.0,Alfa
Mercedes-Benz E350,Sedanas,Automatinė,"3.0 l., 190 kW",Dyzelinas,2017-01,285 000 km,28 500 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-0-l-sedanas-2017-dyzelinas-25713924.html,28500.0,Mercedes-Benz
BMW 330,Sedanas,Automatinė,"2.0 l., 190 kW",Benzinas,2020-04,30 000 km,32 900 €,Jonava,https://autoplius.lt/skelbimai/bmw-330-2-0-l-sedanas-2020-benzinas-25406325.html,32900.0,BMW
Mercedes-Benz C63 AMG,Sedanas,Automatinė,"6.2 l., 390 kW",Benzinas,2013-06,130 000 km,34 999 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-c63-amg-6-2-l-sedanas-2013-benzinas-25709436.html,34999.0,Mercedes-Benz
Audi A6,Universalas,Automatinė,"3.0 l., 210 kW",Dyzelinas / elektra,2019-09,178 000 km,39 000 €,Šiauliai,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2019-dyzelinas-elektra-25703702.html,39000.0,Audi
Audi A3,Hečbekas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2007-03,213 454 km,2 250 €,Širvintos,https://autoplius.lt/skelbimai/audi-a3-2-0-l-hecbekas-2007-dyzelinas-25708198.html,2250.0,Audi
Volkswagen Passat,Universalas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2009-01,292 383 km,2 750 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2009-dyzelinas-25458775.html,2750.0,Volkswagen
Volkswagen Passat,Universalas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2008-06,262 000 km,2 850 €,Alytus,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2008-dyzelinas-25687040.html,2850.0,Volkswagen
BMW 325,Sedanas,Automatinė,"2.5 l., 160 kW",Benzinas,2007-11,260 000 km,2 900 €,Vilnius,https://autoplius.lt/skelbimai/bmw-325-2-5-l-sedanas-2007-benzinas-25356235.html,2900.0,BMW
BMW 525,Universalas,Automatinė,"3.0 l., 145 kW",Dyzelinas,2008-02,376 924 km,3 850 €,Panevėžys,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-24844545.html,3850.0,BMW
Subaru Tribeca,Visureigis / Krosoveris,Automatinė,"3.0 l., 180 kW",Benzinas / dujos,2006-11,234 000 km,3 999 €,Vilnius,https://autoplius.lt/skelbimai/subaru-tribeca-3-0-l-visureigis-krosoveris-2006-benzinas-dujos-25687736.html,3999.0,Subaru
BMW 120,Hečbekas,Mechaninė,"2.0 l., 130 kW",Dyzelinas,2010-12,262 700 km,5 890 €,Kaunas,https://autoplius.lt/skelbimai/bmw-120-2-0-l-hecbekas-2010-dyzelinas-25705636.html,5890.0,BMW
BMW 520,Universalas,Automatinė,"2.0 l., 130 kW",Dyzelinas,2010-04,274 564 km,5 999 €,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25513239.html,5999.0,BMW
Volvo XC60,Visureigis / Krosoveris,Automatinė,"2.4 l., 136 kW",Dyzelinas,2009-09,280 000 km,6 770 €,Vilnius,https://autoplius.lt/skelbimai/volvo-xc60-2-4-l-visureigis-krosoveris-2009-dyzelinas-25713126.html,6770.0,Volvo
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"3.6 l., 206 kW",Benzinas,2011-12,254 000 km,9 300 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-touareg-3-6-l-visureigis-krosoveris-2011-benzinas-25713960.html,9300.0,Volkswagen
Audi A4,Universalas,Automatinė,"3.0 l., 150 kW",Dyzelinas,2012-11,249 000 km,9 999 €,Klaipėda,https://autoplius.lt/skelbimai/audi-a4-3-0-l-universalas-2012-dyzelinas-25014075.html,9999.0,Audi
Audi A4,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas,2015-01,215 000 km,10 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-a4-2-0-l-universalas-2015-dyzelinas-25318467.html,10900.0,Audi
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas,2015-07,181 000 km,12 500 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2015-dyzelinas-25681252.html,12500.0,Volkswagen
Lexus IS 250,Sedanas,Automatinė,"2.5 l., 153 kW",Benzinas,2016,128 000 km,14 000 €,Vilnius,https://autoplius.lt/skelbimai/lexus-is-250-2-5-l-sedanas-2016-benzinas-25122354.html,14000.0,Lexus
Audi Q5,Visureigis / Krosoveris,Automatinė,"3.0 l., 180 kW",Dyzelinas,2013-06,357 218 km,14 500 €,Klaipėda,https://autoplius.lt/skelbimai/audi-q5-3-0-l-visureigis-krosoveris-2013-dyzelinas-25334869.html,14500.0,Audi
Volkswagen Golf,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2019-10,136 682 km,14 800 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2019-dyzelinas-25671630.html,14800.0,Volkswagen
Audi A8,Sedanas,Automatinė,"4.1 l., 257 kW",Dyzelinas,2012-09,199 400 km,14 999 €,Vilnius,https://autoplius.lt/skelbimai/audi-a8-4-1-l-sedanas-2012-dyzelinas-25709518.html,14999.0,Audi
BMW 330,Sedanas,Automatinė,"2.0 l., 185 kW",Benzinas,2018-05,80 500 km,17 950 €,Vilnius,https://autoplius.lt/skelbimai/bmw-330-2-0-l-sedanas-2018-benzinas-25707244.html,17950.0,BMW
Mercedes-Benz CLS320,Kupė (Coupe),Automatinė,"3.0 l., 165 kW",Dyzelinas,2005-10,367 800 km,4 500 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-cls320-3-0-l-kupe-coupe-2005-dyzelinas-25680932.html,4500.0,Mercedes-Benz
BMW 535,Universalas,Automatinė,"3.0 l., 210 kW",Dyzelinas,2008-11,366 000 km,4 900 €,Vilnius,https://autoplius.lt/skelbimai/bmw-535-3-0-l-universalas-2008-dyzelinas-25686822.html,4900.0,BMW
Toyota Avensis,Universalas,Automatinė,"2.2 l., 110 kW",Dyzelinas,2010-01,194 008 km,5 700 €,Vilnius,https://autoplius.lt/skelbimai/toyota-avensis-2-2-l-universalas-2010-dyzelinas-25556089.html,5700.0,Toyota
BMW 120,Hečbekas,Mechaninė,"2.0 l., 130 kW",Dyzelinas,2010-12,262 700 km,5 890 €,Kaunas,https://autoplius.lt/skelbimai/bmw-120-2-0-l-hecbekas-2010-dyzelinas-25705636.html,5890.0,BMW
BMW 520,Universalas,Automatinė,"2.0 l., 130 kW",Dyzelinas,2010-04,274 564 km,5 999 €,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2010-dyzelinas-25513239.html,5999.0,BMW
Volvo XC60,Visureigis / Krosoveris,Automatinė,"2.4 l., 136 kW",Dyzelinas,2009-09,280 000 km,6 770 €,Vilnius,https://autoplius.lt/skelbimai/volvo-xc60-2-4-l-visureigis-krosoveris-2009-dyzelinas-25713126.html,6770.0,Volvo
BMW 525,Universalas,Automatinė,"3.0 l., 150 kW",Dyzelinas,2011-07,271 000 km,9 200 €,Kelmė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-25574785.html,9200.0,BMW
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"3.6 l., 206 kW",Benzinas,2011-12,254 000 km,9 300 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-touareg-3-6-l-visureigis-krosoveris-2011-benzinas-25713960.html,9300.0,Volkswagen
Audi A4,Universalas,Automatinė,"3.0 l., 150 kW",Dyzelinas,2012-11,249 000 km,9 999 €,Klaipėda,https://autoplius.lt/skelbimai/audi-a4-3-0-l-universalas-2012-dyzelinas-25014075.html,9999.0,Audi
Opel Astra,Hečbekas,Automatinė,"1.4 l., 110 kW",Benzinas,2017-05,104 000 km,10 000 €,Vilnius,https://autoplius.lt/skelbimai/opel-astra-1-4-l-hecbekas-2017-benzinas-25347713.html,10000.0,Opel
Audi A4,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas,2015-01,215 000 km,10 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-a4-2-0-l-universalas-2015-dyzelinas-25318467.html,10900.0,Audi
Volkswagen Touareg,Visureigis / Krosoveris,Automatinė,"3.0 l., 176 kW",Dyzelinas,2010-11,275 182 km,11 500 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-touareg-3-0-l-visureigis-krosoveris-2010-dyzelinas-23007306.html,11500.0,Volkswagen
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas,2015-07,181 000 km,12 500 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2015-dyzelinas-25681252.html,12500.0,Volkswagen
Lexus IS 250,Sedanas,Automatinė,"2.5 l., 153 kW",Benzinas,2016,128 000 km,14 000 €,Vilnius,https://autoplius.lt/skelbimai/lexus-is-250-2-5-l-sedanas-2016-benzinas-25122354.html,14000.0,Lexus
BMW 320,Sedanas,Automatinė,"2.0 l., 135 kW",Benzinas,2017,95 800 km,14 350 €,Klaipėda,https://autoplius.lt/skelbimai/bmw-320-2-0-l-sedanas-2017-benzinas-25301527.html,14350.0,BMW
Audi Q5,Visureigis / Krosoveris,Automatinė,"3.0 l., 180 kW",Dyzelinas,2013-06,357 218 km,14 500 €,Klaipėda,https://autoplius.lt/skelbimai/audi-q5-3-0-l-visureigis-krosoveris-2013-dyzelinas-25334869.html,14500.0,Audi
Volkswagen Golf,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2019-10,136 682 km,14 800 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-universalas-2019-dyzelinas-25671630.html,14800.0,Volkswagen
Audi A8,Sedanas,Automatinė,"4.1 l., 257 kW",Dyzelinas,2012-09,199 400 km,14 999 €,Vilnius,https://autoplius.lt/skelbimai/audi-a8-4-1-l-sedanas-2012-dyzelinas-25709518.html,14999.0,Audi
BMW 550,Universalas,Automatinė,"3.0 l., 280 kW",Dyzelinas,2014-06,196 000 km,16 500 €,Nenurodyta,https://autoplius.lt/skelbimai/bmw-550-3-0-l-universalas-2014-dyzelinas-25070305.html,16500.0,BMW
BMW 330,Sedanas,Automatinė,"2.0 l., 185 kW",Benzinas,2018-05,80 500 km,17 950 €,Vilnius,https://autoplius.lt/skelbimai/bmw-330-2-0-l-sedanas-2018-benzinas-25707244.html,17950.0,BMW
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas,2019-10,146 357 km,20 000 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2019-dyzelinas-25671622.html,20000.0,Volkswagen
BMW X3,Visureigis / Krosoveris,Automatinė,"2.0 l., 140 kW",Dyzelinas,2015-01,148 000 km,22 800 €,Birštonas,https://autoplius.lt/skelbimai/bmw-x3-2-0-l-visureigis-krosoveris-2015-dyzelinas-25705334.html,22800.0,BMW
Volkswagen Passat,Sedanas,Automatinė,"2.0 l., 140 kW",Benzinas,2019-10,95 891 km,23 900 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-sedanas-2019-benzinas-25594127.html,23900.0,Volkswagen
Volkswagen Golf,Hečbekas,Automatinė,"1.4 l., 180 kW",Benzinas / elektra,2021-06,51 314 km,23 900 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-golf-1-4-l-hecbekas-2021-benzinas-elektra-25671652.html,23900.0,Volkswagen
Volkswagen Passat,Universalas,Automatinė,"2.0 l., 176 kW",Dyzelinas,2020-01,144 527 km,25 900 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2020-dyzelinas-25678514.html,25900.0,Volkswagen
Volkswagen Passat,Sedanas,Automatinė,"1.4 l., 160 kW",Benzinas / elektra,2020-11,48 353 km,26 450 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-1-4-l-sedanas-2020-benzinas-elektra-25480347.html,26450.0,Volkswagen
Mercedes-Benz C300,Universalas,Automatinė,"2.0 l., 180 kW",Dyzelinas,2019-04,180 000 km,26 900 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-c300-2-0-l-universalas-2019-dyzelinas-24976449.html,26900.0,Mercedes-Benz
Mercedes-Benz E350,Universalas,Automatinė,"3.0 l., 190 kW",Dyzelinas,2017-09,243 000 km,27 900 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-0-l-universalas-2017-dyzelinas-24940585.html,27900.0,Mercedes-Benz
Nissan Qashqai,Visureigis / Krosoveris,Automatinė,"1.5 l., 140 kW",Benzinas / elektra,2023-02,59 587 km,29 950 €,Vilnius,https://autoplius.lt/skelbimai/nissan-qashqai-1-5-l-visureigis-krosoveris-2023-benzinas-elektra-25711720.html,29950.0,Nissan
Mercedes-Benz E220,Sedanas,Automatinė,"2.0 l., 143 kW",Dyzelinas,2020-09,270 000 km,29 999 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-e220-2-0-l-sedanas-2020-dyzelinas-24991001.html,29999.0,Mercedes-Benz
